BD_curve_1 = [ ...,
3.16465, 1000;
1.6125, 40.4404;
1.55202, 39.67;
1.54112, 39.5364;
1.51748, 39.4984;
1.50802, 39.3843;
1.47512, 38.766;
1.44183, 38.6139;
1.44082, 38.5943;
1.40646, 38.4422;
1.40204, 35.9902;
1.34285, 35.2198;
1.33261, 35.0861;
1.31102, 35.0481;
1.30087, 34.934;
1.27096, 34.3157;
1.24043, 34.1636;
1.23913, 34.1441;
1.20775, 33.992;
0.903476, 32.4421;
0.879128, 31.9706;
0.865291, 31.7328;
0.77772, 31.7307;
0.755104, 31.2593;
0.741604, 31.0215;
0.71991, 30.8542;
0.707524, 30.6966;
0.505992, 30.4777;
0.43187, 30.0503;
0.415051, 29.6091;
0.409252, 29.3835;
0.395698, 29.2175;
0.385366, 29.075;
0.378354, 28.7762;
0.374123, 28.6935;
0.359597, 28.4082;
0.359075, 28.2522;
0.345587, 28.2421;
0.339235, 27.8606;
0.328604, 27.7181;
0.32239, 27.4193;
0.306212, 27.0513;
0.293847, 26.8852;
0.282848, 25.3066;
0.273261, 25.1405;
0.270212, 21.6718;
0.262327, 21.3038;
0.25, 21.1377;
];

BD_curve_2 = [ ...,
7.5007, 1000;
6.3515, 47.4765;
6.13404, 47.4449;
5.74709, 43.9938;
5.4208, 43.6819;
5.37031, 42.474;
5.3639, 42.395;
5.16185, 42.2197;
4.99411, 42.0202;
4.98647, 41.9413;
3.95609, 41.7632;
3.58788, 41.3858;
3.23935, 40.5894;
3.20186, 40.1499;
3.18105, 39.2996;
2.80614, 37.1848;
2.44308, 36.3884;
2.40776, 35.9489;
2.38819, 35.0986;
2.09821, 33.313;
1.76088, 32.5166;
1.72547, 32.0771;
1.70668, 31.2269;
1.64376, 29.4456;
1.38869, 28.6492;
1.36609, 28.2097;
1.2258, 27.9794;
1.06105, 27.854;
0.962491, 27.5097;
0.895141, 27.4059;
0.768207, 27.3655;
0.69791, 27.2617;
0.587913, 27.0324;
0.52028, 26.9286;
0.492563, 26.5484;
0.427588, 26.4446;
0.41853, 26.1;
0.399853, 25.6949;
0.347361, 25.5911;
0.340878, 25.2465;
0.332544, 24.5947;
0.315164, 24.2311;
0.300908, 23.8509;
0.272194, 23.7471;
0.26816, 23.4025;
0.25, 22.7507;
];

BD_curve_3 = [ ...,
7.10335, 1000;
6.67819, 47.5479;
6.55729, 47.5355;
6.52607, 47.4805;
6.47096, 47.4071;
6.44883, 47.3521;
5.39822, 42.0078;
5.33051, 42.0015;
5.32636, 41.9673;
5.16366, 41.77;
5.09443, 41.7637;
5.08478, 41.7295;
4.86783, 41.7107;
4.78319, 41.7044;
3.73585, 41.1962;
3.48354, 40.8163;
3.28335, 40.2765;
3.07322, 40.2295;
3.03565, 39.8003;
2.85994, 39.6897;
2.60918, 39.2134;
2.54659, 36.1629;
2.3545, 36.1159;
2.31108, 35.6866;
2.1563, 35.576;
1.92369, 35.0998;
1.83563, 32.35;
1.78007, 31.9207;
1.65901, 31.8102;
1.44879, 31.3339;
1.41236, 27.6346;
1.33023, 27.524;
1.28412, 27.2781;
1.16665, 27.146;
1.04044, 26.8952;
0.978161, 26.7807;
0.836178, 26.7634;
0.774278, 26.649;
0.727621, 26.4569;
0.671925, 26.4332;
0.613662, 26.3187;
0.56871, 26.1266;
0.522391, 25.9095;
0.504273, 25.7695;
0.476475, 25.7175;
0.414706, 25.3604;
0.401636, 24.8042;
0.381434, 24.6643;
0.362963, 24.6122;
0.314243, 24.2551;
0.302234, 22.2836;
0.28882, 22.2315;
0.25, 21.8744;
];

BD_curve_4 = [ ...,
5.05286, 47.4592;
4.78196, 47.3497;
4.6632, 47.3057;
4.35599, 42.4578;
4.29193, 42.3869;
4.03331, 42.3026;
3.94036, 42.0549;
2.83276, 42.0529;
2.75122, 41.7348;
2.40494, 41.5643;
2.32696, 41.2463;
2.15841, 41.2208;
2.08006, 40.9027;
2.02576, 40.8215;
1.77584, 40.4779;
1.70927, 37.3437;
1.63877, 37.0256;
1.59423, 36.9444;
1.39823, 36.6009;
1.24073, 34.2762;
1.19425, 34.074;
1.15101, 33.8695;
1.04193, 33.7214;
0.993957, 33.5192;
0.964472, 33.4791;
0.921676, 33.2769;
0.809879, 33.2665;
0.772818, 33.0701;
0.712112, 33.0468;
0.674857, 32.8504;
0.642862, 32.796;
0.641032, 32.7066;
0.60614, 32.5996;
0.603802, 32.5102;
0.551276, 32.4869;
0.51729, 32.2905;
0.489242, 32.2361;
0.454664, 32.0397;
0.41033, 31.7171;
0.396825, 31.0826;
0.367336, 30.8862;
0.332453, 30.5636;
0.325468, 28.3573;
0.303481, 28.1609;
0.27977, 27.8383;
0.268304, 24.7782;
0.25, 24.4556;
];
